Año,Evento,Autor,Descripción del Evento,Campo de Estudio
~10000 a.C.,Agricultura Neolítica,Desconocido,Transición de sociedades de cazadores-recolectores a sociedades agrícolas,Agricultura
~3500 a.C.,Invención de la escritura,Sumerios,Desarrollo de la escritura cuneiforme en Mesopotamia,Comunicación
~2000 a.C.,Desarrollo de la rueda,Desconocido,Introducción de la rueda para transporte y alfarería,Tecnología
~1650 a.C.,Calendario Egipcio,Egipcios,Desarrollo de un calendario solar de 365 días,Astronomía
~1500 a.C.,Sistemas de riego,Egipcios y Mesopotámicos,Desarrollo de sistemas de riego para mejorar la agricultura,Agricultura
~600 a.C.,Filósofos presocráticos,Tales de Mileto,Inicios del pensamiento racional y explicación de fenómenos naturales,Filosofía
~400 a.C.,Teoría atómica,Demócrito,Introducción de la idea de que la materia está compuesta por átomos,Filosofía Natural
~350 a.C.,Teoría Geocéntrica,Aristóteles,Proposición de que la Tierra es el centro del universo,Astronomía
~300 a.C.,Geometría Euclidiana,Euclides,Compilación de los conocimientos matemáticos en "Los Elementos",Matemáticas
~150 d.C.,Almagesto,Ptolomeo,Obra que compila conocimientos astronómicos y geográficos,Astronomía
